학교명,학제,설립구분,시,지역,학교홈페이지,평균등록금(원),교외장학금 국가,교외장학금 지방자치단체,교외장학금 사설및기타,교내장학금 성적우수장학금,교내장학금 근로장학금,교내장학금 기타장학금
원광대학교,대학교,사립,전북,익산시,www.wonkwang.ac.kr,7496520,34291734084,334166830,789981412,2698288002,327558002,6515399908
원광보건대학교,전문대학,사립,전북,익산시,www.wu.ac.kr,6218431,14208631789,383625500,80338800,776985600,159069493,1684173250
위덕대학교,대학교,사립,경북,경주시,www.uu.ac.kr,7335519,7358916002,145491380,65816000,566370700,44004706,3651637367
유원대학교,대학교,사립,충북,영동군,www.u1.ac.kr,7251423,9668873144,18800000,65234000,820924000,80168956,4539033300
유한대학교,전문대학,사립,경기,부천시,www.yuhan.ac.kr,6067839,13119837206,12355560,279920500,1446354000,526348940,268733330
을지대학교,대학교,사립,"경기, 대전","중구, 성남시, 의정부시",www.eulji.ac.kr,8529148,9252238715,286065960,215846900,2013563200,326560395,1014051100
이화여자대학교,대학교,사립,서울,서대문구,www.ewha.ac.kr,8742198,21635351365,295379200,3541570208,7760643790,584908560,4957050470
인덕대학교,전문대학,사립,서울,노원구,www.induk.ac.kr,6756417,17245379867,65280100,178528000,850058900,513078900,556834050
인제대학교,대학교,사립,"경남, 부산","김해시, 부산진구",www.inje.ac.kr,7275811,20153857383,64137200,673407820,2306160900,591890074,3015619485
인천가톨릭대학교,대학교,사립,인천,"연수구, 강화군",www.iccu.ac.kr,8162869,1498106547,6026750,111899500,258747750,41818802,498474296
인천재능대학교,전문대학,사립,인천,동구,www.jeiu.ac.kr,6420630,10223737246,8013800,42672480,518070000,93740024,1546619310
인하공업전문대학,전문대학,사립,인천,미추홀구,www.inhatc.ac.kr,6764947,18675749920,47718070,75270000,1413391140,1383134972,2624992820
인하대학교,대학교,사립,인천,미추홀구,www.inha.ac.kr,7770597,34434296536,195595610,2117185005,5660237400,3070685327,5940432590
장로회신학대학교,대학교,사립,서울,광진구,www.puts.ac.kr,6657667,1986300680,6000000,100073000,175625300,80991440,99914100
장안대학교,전문대학,사립,경기,화성시,www.jangan.ac.kr,6382692,8170749212,0,27677000,809791000,34421938,1927635240
전남과학대학교,전문대학,사립,전남,곡성군,www.cntu.ac.kr,5180678,11890375082,3000000,52100000,122400000,110508968,1548138490
전남대학교,대학교,국립,"광주, 전남","북구, 여수시",www.chonnam.ac.kr,4157180,38033591209,65197240,2066858190,6150780810,638283968,1995409860
전북과학대학교,전문대학,사립,전북,정읍시,www.jbsc.ac.kr,5422773,5485653518,0,30160000,196017000,84547192,1038246810
전북대학교,대학교,국립,전북,전주시,www.jbnu.ac.kr,4431726,34351535543,372101960,1457508000,4767599750,1677322090,2235872570
전주기전대학,전문대학,사립,전북,전주시,www.kijeon.ac.kr,6300684,6171219290,2254000,44836000,82950000,145514265,1468289760
전주대학교,대학교,사립,전북,전주시,www.jj.ac.kr,7021326,31304748782,678645140,734651480,1460470500,1095967748,5371941075
전주비전대학교,전문대학,사립,전북,전주시,www.jvision.ac.kr,6234028,10459366427,2000000,105952260,240598350,59351738,2002316760
제주관광대학교,전문대학,사립,제주,제주시,www.jtu.ac.kr,4908232,5060935087,650000,55100000,108244550,65428818,766740632
제주국제대학교,대학교,사립,제주,제주시,www.jeju.ac.kr,5837838,557234037,2000000,44488000,125662000,20404228,838794250
제주대학교,대학교,국립,제주,제주시,www.jejunu.ac.kr,3977333,18280748101,376769120,821742640,1964738200,1134207224,1138541440
제주한라대학교,전문대학,사립,제주,제주시,www.chu.ac.kr,5162560,12073877950,68936760,90500000,565247010,234038810,1509271665
조선간호대학교,전문대학,사립,광주,동구,www.cnc.ac.kr,5309438,1737416678,3147000,10000000,192709600,1613692,64684250
조선대학교,대학교,사립,광주,동구,www.chosun.ac.kr,7109852,46910124796,21090300,696104800,6688450450,444491784,5316094039
조선이공대학교,전문대학,사립,광주,동구,www.cst.ac.kr,5604515,8058820169,4500000,16500000,173560500,48357690,1544674000
중부대학교,대학교,사립,충남,금산군,www.joongbu.ac.kr,7246231,18974455440,18535700,102243000,2461706500,1038817700,3370495160
중앙대학교,대학교,사립,"서울, 경기","안성시, 동작구",www.cau.ac.kr,8176408,40502751210,367924300,3575523018,9308987000,1782267640,6525822082
중앙승가대학교,대학교,사립,경기,김포시,admission.sangha.ac.kr,1760000,116746680,0,204052000,8850000,0,24090000
중원대학교,대학교,사립,충북,괴산군,www.jwu.ac.kr,7446498,6960413024,24984940,33444400,1239055500,75714120,8185242660
진주보건대학교,전문대학,사립,경남,진주시,www.jhc.ac.kr,5912294,7979703370,7390160,65500000,403049900,56933240,1404180000
차의과학대학교,대학교,사립,경기,포천시,www.cha.ac.kr,7156301,5914447439,15904560,94221020,472643120,154658356,1145914842
창신대학교,대학교,사립,경남,창원시,www.cs.ac.kr,6406668,5061487940,10543560,937356797,367562200,110495804,625615770
창원대학교,대학교,국립,경남,창원시,www.changwon.ac.kr,3876810,15281098354,29173900,556703380,1662818800,1092419286,1009213840
창원문성대학교,전문대학,사립,경남,창원시,www.cmu.ac.kr,5853324,4568656262,8220000,36150000,383390000,51552328,758647000
청강문화산업대학교,전문대학,사립,경기,이천시,www.ck.ac.kr,7036156,10897012107,17772760,414432852,673570400,371579390,253485000
청암대학교,전문대학,사립,전남,순천시,ca.ac.kr,5547607,6437201081,0,76936000,450624700,60380954,1195545530
청주대학교,대학교,사립,충북,청주시,www.cju.ac.kr,7658347,23269151198,56996260,356776500,6603685340,333068660,3111834750
초당대학교,대학교,사립,전남,무안군,www.cdu.ac.kr,6665781,8013397885,0,208780000,300464920,60361720,3659203120
총신대학교,대학교,사립,서울,동작구,www.chongshin.ac.kr,6973645,4516869848,36500000,273039000,372468200,277163342,239924900
추계예술대학교,대학교,사립,서울,서대문구,www.chugye.ac.kr,8815848,2474516480,20049000,34963000,423332000,74042000,148302500
춘해보건대학교,전문대학,사립,울산,울주군,www.ch.ac.kr,6134831,7797535564,100000000,90135000,737665000,155102826,365690000
충남대학교,대학교,국립,대전,유성구,www.cnu.ac.kr,4364968,26831587895,90999220,1164827440,5769514700,1300081965,2244287820
충북대학교,대학교,국립,충북,청주시,www.chungbuk.ac.kr,4289666,25363954939,108593230,1097545570,4595690860,2441512395,2301473920
충북보건과학대학교,전문대학,사립,충북,청주시,www.chsu.ac.kr,6190483,6415539747,7619520,53300000,401829540,53261158,956017180
충청대학교,전문대학,사립,충북,청주시,www.ok.ac.kr,5963169,9066499692,15918960,90930000,434553290,189663855,1283849360
칼빈대학교,대학교,사립,경기,용인시,www.calvin.ac.kr,7610778,884332362,1395000,40540000,42110000,53535278,960899800
평택대학교,대학교,사립,경기,평택시,www.ptu.ac.kr,7576066,7725997603,9500000,120680000,1210968000,182744106,1640577100
포항공과대학교,대학교,사립,경북,포항시,www.postech.ac.kr,5613500,3688230827,0,349592800,90200000,466586468,3617737340
포항대학교,전문대학,사립,경북,포항시,www.pohang.ac.kr,6141852,4977507081,83049000,76700000,161410000,81892496,839409664
한국골프대학교,전문대학,사립,강원,횡성군,www.kg.ac.kr,7930000,1296454500,44570000,31900000,89885500,6900000,537152600
한국공학대학교,대학교,사립,경기,시흥시,www.kpu.ac.kr,9034616,14322056487,40607360,382633680,3605099519,815379428,3441700700
한국관광대학교,전문대학,사립,경기,이천시,www.ktc.ac.kr,6295502,4553145218,2100600,14217220,162929300,55787758,1146559584
한국교원대학교,대학교,국립,충북,청주시,www.knue.ac.kr,3179374,3744759218,23645810,192385400,311288500,907818232,151343480
한국교통대학교,대학교,국립,충북,충주시,www.ut.ac.kr,4110184,16591627661,64972150,187557650,3573412950,1080320244,1040851360
한국국제대학교,대학교,사립,경남,진주시,www.iuk.ac.kr,6428953,597186879,17300000,4000000,198691000,1619876,951498170
한국기술교육대학교,대학교,사립,충남,천안시,www.koreatech.ac.kr,4495823,7413629341,4206350,81139880,2192235160,2003141978,1713963000
한국성서대학교,대학교,사립,서울,노원구,www.bible.ac.kr,7111110,2960755637,42000000,57246800,263449000,289944500,525399400
한국승강기대학교,전문대학,사립,경남,거창군,www.klc.ac.kr/klc/main/main.php,7013300,1931485870,2706750,22296000,240974000,15656272,261496700
한국영상대학교,전문대학,사립,세종,장군면,www.pro.ac.kr,6250725,9735067277,4396680,112611800,830373600,281070116,758668660
한국외국어대학교,대학교,사립,서울,동대문구,www.hufs.ac.kr,7184492,26385548788,345594690,2030094210,3934482750,737767044,4592131375
한국체육대학교,대학교,국립,서울,송파구,www.knsu.ac.kr/,3859865,4555852889,30285500,197838000,2026784000,44230566,140000000
한국침례신학대학교,대학교,사립,대전,유성구,www.kbtus.ac.kr,6047489,5308123134,0,325209885,91893500,80272472,146256220
한국항공대학교,대학교,사립,경기,고양시,www.kau.ac.kr,8510869,7236805067,114405010,473249070,1541941000,855327285,1923265190
한국해양대학교,대학교,국립,부산,영도구,www.kmou.ac.kr,3723612,12250456382,158005710,1210978200,1896743500,214196418,318909450
한남대학교,대학교,사립,대전,대덕구,www.hannam.ac.kr,7234996,28914419092,74522570,208469650,3253505220,567720724,4534483086
한동대학교,대학교,사립,경북,포항시,www.handong.edu,7122951,11301710418,23719280,960569230,912977100,959708294,1250052900
한라대학교,대학교,사립,강원,원주시,www.halla.ac.kr,7157954,7753531671,157694950,129810400,1432486850,109583004,1365346310
한림대학교,대학교,사립,강원,춘천시,www.hallym.ac.kr,7540804,18227593230,288542850,455298300,4534824150,611987100,2775086570
한림성심대학교,전문대학,사립,강원,춘천시,www.hsc.ac.kr,5741603,8047162173,68170000,61276000,732140370,507962292,1199537750
한밭대학교,대학교,국립,대전,유성구,www.hanbat.ac.kr,4471034,17081783928,81922120,267120580,2423346040,1388654152,817537760
한서대학교,대학교,사립,충남,서산시,www.hanseo.ac.kr,7970722,16021582644,114307900,108731000,3524025000,322422736,3275851650
한성대학교,대학교,사립,서울,성북구,www.hansung.ac.kr,7778890,15439385376,55257210,228806700,1441031250,1772106629,3961912032
한세대학교,대학교,사립,경기,군포시,www.hansei.ac.kr,8154076,6316497650,25108500,94102000,771886000,117843548,1928188300
한신대학교,대학교,사립,경기,오산시,www.hs.ac.kr,7246246,12415987837,31667600,261164000,1956469020,777129658,1031260900
한양대학교,대학교,사립,"서울, 경기","성동구, 안산시",www.hanyang.ac.kr,8543761,27157028127,258973960,2559634520,3530476200,1559617342,14421228016
한양여자대학교,전문대학,사립,서울,성동구,www.hywoman.ac.kr,6189253,17917173144,22246400,155133050,2032876270,275404666,1287440498
한영대학교,전문대학,사립,전남,여수시,www.hanyeong.ac.kr,5611605,3424037092,0,0,76860000,27476398,661850750
한일장신대학교,대학교,사립,전북,완주군,www.hanil.ac.kr,6428858,3367211154,2890000,56152600,139595000,48428576,801709000
협성대학교,대학교,사립,경기,화성시,www.uhs.ac.kr,7460014,10504331301,16000000,40800000,1489497239,314939104,967087218
혜전대학교,전문대학,사립,충남,홍성군,www.hj.ac.kr,5828352,7001190950,0,106307250,126498800,279306400,1328084425
호남대학교,대학교,사립,광주,광산구,www.honam.ac.kr,6580113,18451509764,39101860,152607300,2418907700,465936984,5271363840
호남신학대학교,대학교,사립,광주,남구,www.htus.ac.kr,6802844,1821457996,0,37158200,254425700,78869750,229687920
호산대학교,전문대학,사립,경북,경산시,www.hosan.ac.kr,5801199,4823620939,4402000,3400000,199400250,17510386,1460188310
호서대학교,대학교,사립,충남,아산시,www.hoseo.ac.kr,7761284,28201647866,475156680,289731540,4422236200,1873684248,5366079773
홍익대학교,대학교,사립,"세종, 서울","마포구, 조치원읍",www.hongik.ac.kr/,8431468,32583356967,50567180,959136530,17648206300,4354288864,6442353102
