학교명,학제,설립구분,시,지역,학교홈페이지,등록금,국가장학금,지방자치단체장학금,사설및기타장학금,성적우수장학금,근로장학금,기타장학금,교외장학금,교내장학금,전체 장학금,남은 장학금
경남대학교,대학교,사립,경남,창원시,www.kyungnam.ac.kr,6535666,23000570147,42846740,403541000,4219456100,728259756,5252607090,23446957887,10200322946,33647280833,33640745167
경남정보대학교,전문대학,사립,부산,사상구,www.kit.ac.kr,6184280,19618912807,43310280,201953000,846490800,222563752,3313932100,19864176087,4382986652,24247162739,24240978459
경동대학교,대학교,사립,"강원, 경기","고성군, 속초시, 원주시, 양주시",www.kduniv.ac.kr,8292563,17417265407,415343600,170135000,693761900,8400000,5190306820,18002744007,5892468720,23895212727,23886920164
경민대학교,전문대학,사립,경기,의정부시,www.kyungmin.ac.kr,6519835,13127156503,586682350,104925554,451758000,272533452,2395647470,13818764407,3119938922,16938703329,16932183494
경복대학교,전문대학,사립,경기,남양주시,www.kbu.ac.kr,6417120,18860516686,45612300,86770300,194749000,404431364,3235484546,18992899286,3834664910,22827564196,22821147076
경북과학대학교,전문대학,사립,경북,칠곡군,www.kbsc.ac.kr,5750261,4848007871,0,7000000,147351000,3154414,2033572160,4855007871,2184077574,7039085445,7033335184
경북대학교,대학교,국립,대구,북구,www.knu.ac.kr,4499843,41995581412,61125980,2976989350,6901994600,1753948070,2262028590,45033696742,10917971260,55951668002,55947168159
경북보건대학교,전문대학,사립,경북,김천시,www.gch.ac.kr,5612046,3518085306,8592380,38590378,357897200,124299344,444239210,3565268064,926435754,4491703818,4486091772
경북전문대학교,전문대학,사립,경북,영주시,www.kbc.ac.kr,5785792,8449392300,6516880,29135000,409994000,111830990,1723433950,8485044180,2245258940,10730303120,10724517328
경상국립대학교,대학교,국립,경남,진주시,www.gnu.ac.kr,4042102,30664005292,198544620,958753680,3861367230,1707913842,1125682860,31821303592,6694963932,38516267524,38512225422
경성대학교,대학교,사립,부산,남구,ks.ac.kr,6576506,28881408517,147004330,397812930,4232496400,431330872,4134053030,29426225777,8797880302,38224106079,38217529573
경운대학교,대학교,사립,경북,구미시,www.ikw.ac.kr,7714151,12380277362,138845720,49920000,641926000,274978196,5254294469,12569043082,6171198665,18740241747,18732527596
경인여자대학교,전문대학,사립,인천,계양구,www.kiwu.ac.kr,6258246,12236288274,1530000,41732000,683485000,291255786,2072387300,12279550274,3047128086,15326678360,15320420114
경일대학교,대학교,사립,경북,경산시,www.kiu.ac.kr,7376019,20689257624,8030880,159579500,2160935100,351463486,3804100610,20856868004,6316499196,27173367200,27165991181
경주대학교,대학교,사립,경북,경주시,www.gju.ac.kr,7220827,619237407,0,11600000,62418000,27159028,1583032500,630837407,1672609528,2303446935,2296226108
경희대학교,대학교,사립,서울,동대문구,www.khu.ac.kr,7991355,43310114133,379633340,3000868177,9223085908,560974850,11262940624,46690615650,21047001382,67737617032,67729625677
계명대학교,대학교,사립,대구,달서구,www.kmu.ac.kr,7279405,54009173885,153699890,771666681,11627885300,1855773718,9094094724,54934540456,22577753742,77512294198,77505014793
계명문화대학교,전문대학,사립,대구,달서구,www.kmcu.ac.kr,5960246,15784929898,19562560,71940000,437619140,453913502,3566830610,15876432458,4458363252,20334795710,20328835464
계원예술대학교,전문대학,사립,경기,의왕시,www.kaywon.ac.kr,7650237,7513957894,9000000,66310000,821180000,412540076,382942800,7589267894,1616662876,9205930770,9198280533
고구려대학교,전문대학,사립,전남,나주시,www.kgrc.ac.kr,4417214,2158303800,0,3000000,56030000,0,2216244500,2161303800,2272274500,4433578300,4429161086
고려대학교,대학교,사립,"세종, 서울","성북구, 조치원읍",www.korea.ac.kr,8372225,27944991316,892313890,7762411212,2358250700,3880231891,13323271742,36599716418,19561754333,56161470751,56153098526
고신대학교,대학교,사립,부산,영도구,www.kosin.ac.kr,6654016,9839044235,31415240,558070600,1268873500,308642664,1429282992,10428530075,3006799156,13435329231,13428675215
공주대학교,대학교,국립,충남,공주시,www.kongju.ac.kr,3828317,24689803735,215676950,342895420,3817786000,1111624950,1516302418,25248376105,6445713368,31694089473,31690261156
광신대학교,대학교,사립,광주,북구,www.kwangshin.ac.kr,5967803,1664118220,0,24700000,7652000,24691380,455320600,1688818220,487663980,2176482200,2170514397
광양보건대학교,전문대학,사립,전남,광양시,www.gy.ac.kr,5608630,10900000,0,0,0,0,20750000,10900000,20750000,31650000,26041370
광운대학교,대학교,사립,서울,노원구,www.kw.ac.kr,7885046,15395097703,68986260,386424500,2953939500,1327602782,3234786550,15850508463,7516328832,23366837295,23358952249
광주대학교,대학교,사립,광주,남구,www.gwangju.ac.kr,6591901,18679354298,46662200,196720000,1582364570,159724272,4363592010,18922736498,6105680852,25028417350,25021825449
광주보건대학교,전문대학,사립,광주,광산구,www.ghu.ac.kr,5183650,10483041269,10316400,54000000,693697400,63520506,474936500,10547357669,1232154406,11779512075,11774328425
광주여자대학교,대학교,사립,광주,광산구,www.kwu.ac.kr,6311353,12437780111,37385600,153464500,1153189160,305346320,2117659950,12628630211,3576195430,16204825641,16198514288
구미대학교,전문대학,사립,경북,구미시,www.gumi.ac.kr,5871705,19099456969,62026140,55984000,303042500,504463116,7086004490,19217467109,7893510106,27110977215,27105105510
